ParticipantId,Formatted_time,Batterylevel
4264.0,2020-12-09 21:59:12,34
4264.0,2020-12-09 21:59:27,34
4264.0,2020-12-09 21:59:44,34
4264.0,2020-12-09 21:59:59,34
4264.0,2020-12-09 22:00:14,34
4264.0,2020-12-09 22:00:30,34
1628.0,2020-12-12 16:18:58,100
4264.0,2020-12-10 10:47:18,31
4264.0,2020-12-10 10:47:33,31
4264.0,2020-12-10 10:47:48,31
4264.0,2020-12-10 10:48:05,31
4264.0,2020-12-10 10:48:20,31
4264.0,2020-12-10 10:48:35,31
4264.0,2020-12-10 10:48:50,31
4264.0,2020-12-10 10:49:06,31
4264.0,2020-12-10 10:49:21,31
4264.0,2020-12-10 10:49:38,31
4264.0,2020-12-10 10:49:53,31
4264.0,2020-12-10 10:50:08,31
4264.0,2020-12-10 10:50:23,31
4264.0,2020-12-10 10:50:38,31
4264.0,2020-12-10 10:50:54,31
4264.0,2020-12-10 10:51:11,31
4264.0,2020-12-10 10:51:26,31
4264.0,2020-12-10 10:51:41,31
4264.0,2020-12-10 10:51:56,31
4264.0,2020-12-10 10:52:11,31
1628.0,2020-12-11 20:22:08,58
1628.0,2020-12-12 09:59:56,97
1628.0,2020-12-12 10:15:03,97
4264.0,2020-12-10 00:33:21,24
4264.0,2020-12-10 00:33:38,24
4264.0,2020-12-10 00:33:56,24
4264.0,2020-12-10 00:34:12,24
4264.0,2020-12-10 00:34:27,24
4264.0,2020-12-10 00:34:42,24
4264.0,2020-12-10 00:34:58,24
4264.0,2020-12-10 12:54:52,76
4264.0,2020-12-10 12:55:07,76
4264.0,2020-12-10 12:55:22,76
4264.0,2020-12-10 12:55:37,76
4264.0,2020-12-10 12:55:54,76
4264.0,2020-12-10 12:56:09,76
4264.0,2020-12-10 12:56:24,76
4264.0,2020-12-10 12:56:40,76
4264.0,2020-12-10 12:56:55,76
4264.0,2020-12-10 12:57:10,76
4264.0,2020-12-10 12:57:27,76
4264.0,2020-12-10 12:57:42,76
4264.0,2020-12-10 12:57:57,76
4264.0,2020-12-10 12:58:12,76
