Row_id,Type,Id,DeviceId,Timestamp,ProtocolId,BuildId,ParticipantId,DeviceManufacturer,DeviceModel,OperatingSystem,TaggedEventId,TaggedEventTags,SensingAgentStateDescription,LocalOffsetFromUTC,Decibels,BatteryLevel,AccessPointBSSID,Activity,Phase,State,Confidence,Latitude,Longitude,LocationAccuracy,ProtocolName,Formatted_time
0,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",02b6c547-d395-4e83-91b8-15bc34459460,b6c7054108615ca5,2020-12-10 02:59:12.738999+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,34.0,,,,,,,,,,2020-12-09 21:59:12
1,"Sensus.Probes.Location.LocationDatum, SensusAndroid",da97597d-86b8-4d45-9420-509ecacc6c07,b6c7054108615ca5,2020-12-10 02:59:19.940902+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,,,,,,,35.3069588,-80.7236291,11.531999588012695,,2020-12-09 21:59:19
2,"Sensus.Probes.Context.SoundDatum, SensusAndroid",acde90d3-998d-4895-9db3-967084cd8d1a,b6c7054108615ca5,2020-12-10 02:59:22.866585+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,51.38747819230092,,,,,,,,,,,2020-12-09 21:59:22
3,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",96e06f4e-e9f7-4984-9fbf-57f89ff77c92,b6c7054108615ca5,2020-12-10 02:59:27.775905+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,34.0,,,,,,,,,,2020-12-09 21:59:27
4,"Sensus.Probes.Location.LocationDatum, SensusAndroid",3ac306ba-8ef6-4f41-95eb-68883bfea649,b6c7054108615ca5,2020-12-10 02:59:37.040428+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,,,,,,,35.3069562,-80.7236282,11.5,,2020-12-09 21:59:37
5,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",82244280-a579-4c4d-ab33-a52970787ef7,b6c7054108615ca5,2020-12-10 02:59:44.956885+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,34.0,,,,,,,,,,2020-12-09 21:59:44
6,"Sensus.Probes.Context.SoundDatum, SensusAndroid",3db1b5dd-7239-4d10-91fe-334a59439987,b6c7054108615ca5,2020-12-10 02:59:45.072823+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,46.808882296802366,,,,,,,,,,,2020-12-09 21:59:45
7,"Sensus.Probes.Location.LocationDatum, SensusAndroid",8a15ad93-dbd9-44b5-b404-903556200159,b6c7054108615ca5,2020-12-10 02:59:54.159468+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,,,,,,,35.3069578,-80.7236236,11.532999992370605,,2020-12-09 21:59:54
8,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",30ec5f79-5efb-4d39-9c7b-fa97e41d543c,b6c7054108615ca5,2020-12-10 02:59:59.971820+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,34.0,,,,,,,,,,2020-12-09 21:59:59
9,"Sensus.Probes.Context.SoundDatum, SensusAndroid",8b514920-e794-4e61-906e-429a7f6b6eef,b6c7054108615ca5,2020-12-10 03:00:10.050144+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,54.979257225123234,,,,,,,,,,,2020-12-09 22:00:10
10,"Sensus.Probes.Location.LocationDatum, SensusAndroid",38d277b0-6c73-415d-b16c-2283cfaf827e,b6c7054108615ca5,2020-12-10 03:00:12.570130+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,,,,,,,35.3069577,-80.7236278,11.50100040435791,,2020-12-09 22:00:12
11,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",b5d81782-9af6-4f36-951c-d2d71510b97b,b6c7054108615ca5,2020-12-10 03:00:14.985246+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,34.0,,,,,,,,,,2020-12-09 22:00:14
